street_name,total_properties,avg_value,median_value,min_value,max_value,owner_occupied_count,investor_count,owner_occupied_pct,investor_pct,high_crime_area
BACHMAN,5,75000.0,75000.0,75000,75000,0,5,0.0,100.0,False
PALO DURO                                         PL,4,132.0,10.0,10,500,0,4,0.0,100.0,False
HONEY CREEK,18,274957.0,321979.0,10,439840,3,15,16.7,83.3,False
BUSHMAN,11,95008.0,75000.0,10,448330,2,9,18.2,81.8,False
PUEBLO,34,315013.0,321534.0,35,392582,8,26,23.5,76.5,True
SANDLIN,41,280072.0,324160.0,35,406555,12,29,29.3,70.7,False
MCCREE,47,337068.0,328299.0,223651,397469,14,33,29.8,70.2,False
WATERCREST,9,157687.0,10.0,10,406055,3,6,33.3,66.7,False
PURTIS CREEK,53,291214.0,324145.0,36,423277,19,34,35.8,64.2,False
LOCKHART,55,191694.0,167251.0,33,427938,22,33,40.0,60.0,False
BROWDER,8,288124.0,280674.0,62010,473734,4,4,50.0,50.0,False
PARKDALE,16,189858.0,75000.0,10,473734,8,8,50.0,50.0,False
FERGUSON,11,321253.0,346669.0,36,397842,6,5,54.5,45.5,False
VILLAGE CREEK,8,300173.0,385591.0,39,434664,5,3,62.5,37.5,False
KESSLER,33,326279.0,353000.0,33,400728,23,10,69.7,30.3,False
BIG SPRINGS,11,354036.0,381971.0,41,422341,8,3,72.7,27.3,False
EVERGLADES,70,361069.0,374930.0,1324,520991,52,18,74.3,25.7,True
SAND SPRINGS,14,316007.0,421274.0,42,482094,11,3,78.6,21.4,False
KLEBERG,19,369267.0,411550.0,500,455767,15,4,78.9,21.1,False
CEDAR CREST,36,326764.0,379094.0,34,446408,29,7,80.6,19.4,False
SEMINOLE,31,318420.0,352405.0,500,431591,25,6,80.6,19.4,False
ARBOR,37,344621.0,365573.0,32,463616,30,7,81.1,18.9,False
MERIDIAN,33,344051.0,377848.0,37,453311,27,6,81.8,18.2,False
SUGARBERRY,22,334043.0,364118.0,3782,423570,18,4,81.8,18.2,False
WYLER,27,341534.0,360990.0,33,436757,23,4,85.2,14.8,False
CAPROCK,39,317155.0,358330.0,34,426507,34,5,87.2,12.8,False
DEERPATH,17,373236.0,405000.0,3393,467000,15,2,88.2,11.8,False
GLACIER,34,356768.0,402000.0,45,478378,30,4,88.2,11.8,False
GREENBELT,36,338451.0,365714.0,500,475657,32,4,88.9,11.1,False
FRANKFORD,39,353835.0,401000.0,38,476049,35,4,89.7,10.3,False
PIKE,20,339018.0,357346.0,35,422604,18,2,90.0,10.0,False
PEGASUS,66,360928.0,409699.0,37,514664,60,6,90.9,9.1,False
WHITNEY,34,344207.0,419039.0,38,504154,31,3,91.2,8.8,False
LAWNVIEW,63,363089.0,411189.0,39,498443,58,5,92.1,7.9,False
BIG SPRING,13,349015.0,370060.0,500,434341,12,1,92.3,7.7,False
JAMESTOWN,29,337963.0,416352.0,2601,490053,27,2,93.1,6.9,False
CARLSBAD,29,280678.0,357088.0,34,413795,27,2,93.1,6.9,False
SHELDON,52,341603.0,411500.0,34,457358,49,3,94.2,5.8,False
GAME CREEK,21,381294.0,427308.0,9392,467495,20,1,95.2,4.8,False
PALMETTO,22,358929.0,413757.0,41,470959,21,1,95.5,4.5,False
BOULDER,7,340906.0,373000.0,34,461516,7,0,100.0,0.0,False
KENSINGTON,5,318223.0,371000.0,9429,431160,5,0,100.0,0.0,False
YELLOWSTONE,18,347865.0,404022.0,2423,456710,18,0,100.0,0.0,False
